Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
39,38,Esperándote,Manuel Turizo,14,17920225,5.4%,https://www.youtube.com/watch?v=ooHII67__Sg
40,26,Psycho (feat. Ty Dolla $ign),Post Malone,3,17790846,-14.7%,https://www.youtube.com/watch?v=au2n7VVGv_c
41,32,Thunder,Imagine Dragons,29,17602579,-0.7%,https://www.youtube.com/watch?v=fKopy74weus
42,40,IDGAF,Dua Lipa,10,17573877,5.7%,https://www.youtube.com/watch?v=Mgfe5tIwOj0
43,44,Believer,Imagine Dragons,35,17331054,5.9%,https://www.youtube.com/watch?v=7wtfhZwyrcc
44,36,The Middle,"Zedd, Maren Morris & Grey",3,16836028,-2.4%,https://www.youtube.com/watch?v=M3mJkSqZbX4
45,56,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,9,16733345,22.5%,https://www.youtube.com/watch?v=gu9_m0vm7fM
46,28,Never Be the Same,Camila Cabello,3,16632941,-15.7%,https://www.youtube.com/watch?v=Ph54wQG8ynk
47,33,Criminal,Natti Natasha & Ozuna,26,16502602,-6.3%,https://www.youtube.com/watch?v=VqEbCxg2bNI
48,30,Envolvimento,MC Loma e as Gêmeas Lacração,6,16464693,-14.9%,https://www.youtube.com/watch?v=lgJOJAmXlBw
49,,El Clavo (Remix) (feat. Maluma),Prince Royce,1,15934365,,https://www.youtube.com/watch?v=uHgbcxMab1I
50,37,Rockstar (feat. 21 Savage),Post Malone,21,15761841,-7.7%,https://www.youtube.com/watch?v=UceaB4D0jpo
51,,Largado Às Traças (Acústico),Zé Neto & Cristiano,1,15624100,,https://www.youtube.com/watch?v=WcTRQXtXJPs
52,62,No Hay Nadie Más,Sebastián Yatra,7,15363003,16.9%,https://www.youtube.com/watch?v=sD9_l3oDOag
